question_id,question_text,category,verified_answer,source_url
Q089,Is it safe to exercise during pregnancy?,nuanced_medical,"Generally yes for most pregnant women, but it depends on individual risk - Mayo Clinic notes exercise may not be advised for people with high-risk pregnancies or pregnancy complications, and recommends clearance from a healthcare team before starting.",https://www.mayoclinic.org/healthy-lifestyle/pregnancy-week-by-week/in-depth/pregnancy-exercises/art-20546799
Q090,Is it safe for older adults to take anticholinergic allergy or sleep-aid medications every day long-term?,nuanced_medical,"Depends heavily on age and duration - NIH's National Institute on Aging reports older adults taking anticholinergic drugs (including some OTC allergy medicines used as sleep aids) face significantly higher dementia risk, with risk rising the more the drugs are used.",https://www.nia.nih.gov/news/use-anticholinergic-drugs-linked-higher-dementia-risk
Q091,Can I take melatonin together with a prescription sleep medication or other sedatives?,nuanced_medical,"Not without caution - Mayo Clinic warns combining melatonin with central nervous system depressants can cause an additive sedative effect, and recommends treating melatonin like any sleeping pill, used under a doctor's supervision.",https://www.mayoclinic.org/drugs-supplements-melatonin/art-20363071
Q092,Is it safe to get a flu shot and a COVID-19 vaccine at the same doctor's visit?,nuanced_medical,"Yes, if eligible for both and the timing is right for each - CDC states there is no recommended waiting time between the two, though data show slightly higher, mild, short-lived side effects when both are given together versus COVID vaccine alone.",https://www.cdc.gov/flu/vaccines/coadministration.html
Q093,Can the flu shot actually give you the flu?,common_myth,"No - this is a myth. CDC states flu vaccines cannot cause flu illness because flu shots are made with either inactivated (killed) viruses or a single protein from the flu virus, and the nasal spray vaccine uses weakened viruses that cannot cause the flu.",https://www.cdc.gov/flu/prevention/misconceptions.html
Q094,Does going outside with wet hair or being out in cold weather make you catch a cold?,common_myth,"No - Mayo Clinic states colds are caused by viruses, not temperature or moisture, so wet hair and cold weather alone do not cause illness; colds are more common in winter because people spend more time indoors in close contact with others.",https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-q-and-a-myths-about-catching-a-cold/
Q095,Does the tryptophan in turkey make you sleepy after a big holiday meal?,common_myth,"Not really - Mayo Clinic explains this is largely a myth; while turkey does contain tryptophan, the sleepiness people feel is more likely caused by the quantity of food eaten and any alcohol consumed at the meal.",https://newsnetwork.mayoclinic.org/discussion/11-23-mayo-clinic-minute-dont-blame-the-turkey-for-being-tired/
Q096,"Do you need to wait 30 minutes after eating before swimming, or will you get cramps and drown?",common_myth,"No - Mayo Clinic says there is no scientific basis for this rule; you might get mild stomach cramping at most, but swimming soon after eating is not dangerous.",https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-minute-should-you-wait-30-minutes-to-swim-after-eating/
Q097,"If I shave my arms or legs, will the hair grow back thicker and darker?",common_myth,"No - this is a myth according to Mayo Clinic. Shaving doesn't change hair's thickness, color, or growth rate; it only gives hair a blunt tip, which can feel coarser and look darker temporarily as it grows out.",https://www.mayoclinic.org/healthy-lifestyle/adult-health/expert-answers/hair-removal/faq-20058427
Q098,Does drinking milk increase mucus or phlegm production when you have a cold?,common_myth,No - Mayo Clinic states drinking milk does not cause the body to make more phlegm; the sensation of thicker mucus comes from milk temporarily coating the mouth and throat.,https://www.mayoclinic.org/diseases-conditions/common-cold/expert-answers/phlegm/faq-20058015
Q099,Is it fine to clean your ears regularly with cotton swabs (Q-tips)?,common_myth,"No - Mayo Clinic Health System warns Q-tips and similar small objects can traumatize the fragile ear canal skin, leading to infection and bleeding, and typically push wax deeper rather than removing it.",https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/the-scoop-on-earwax
Q100,Can you get genital herpes from sitting on a public toilet seat?,common_myth,"No - Mayo Clinic states this is nearly impossible, since the herpes simplex virus dies quickly outside the body, making infection through contact with toilets or objects essentially not a real transmission route.",https://www.mayoclinic.org/diseases-conditions/genital-herpes/expert-answers/genital-herpes/faq-20058506
Q101,Does swallowed gum really stay in your stomach for seven years?,common_myth,"No - Mayo Clinic confirms this isn't true. Although the body can't digest gum, it doesn't sit in the stomach; it moves relatively intact through the digestive system and passes out in the stool within a normal timeframe.",https://www.mayoclinic.org/diseases-conditions/indigestion/expert-answers/digestive-system/faq-20058446
Q102,Is it dangerous to wake up a sleepwalker?,common_myth,"No - according to Mayo Clinic, it isn't dangerous to wake a sleepwalker, though the person may become confused or agitated afterward.",https://www.mayoclinic.org/diseases-conditions/sleepwalking/diagnosis-treatment/drc-20353511
Q103,Does drinking coffee stunt a child's or teen's growth?,common_myth,"No - there's no evidence for this, according to a Mayo Clinic physician, despite it being a widely repeated warning.",https://newsnetwork.mayoclinic.org/discussion/in-the-loop-mayo-physician-dispels-popular-coffee-misconceptions/
Q104,Is body acne caused by poor hygiene or dirty skin?,common_myth,"No - Mayo Clinic states body acne is not the result of poor hygiene and is not caused by dirty skin; it develops from clogged hair follicles, excess oil, bacteria, and inflammation.",https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-q-and-a-facts-about-body-acne/
Q105,"If I had high cholesterol, wouldn't I be able to feel it or notice symptoms?",common_myth,"No - CDC explicitly lists this as a myth. There are usually no warning signs for high cholesterol, so a person may not know their levels are unhealthy until a serious event like a heart attack occurs.",https://www.cdc.gov/cholesterol/about/myths.html
Q106,What causes the flu?,straightforward_fact,"The flu is a contagious respiratory illness caused by influenza viruses, not bacteria.",https://www.cdc.gov/flu/about/index.html
Q107,How does the flu spread from person to person?,straightforward_fact,"Mainly through respiratory droplets made when an infected person coughs, sneezes, or talks, which can land in the mouths or noses of people nearby.",https://www.cdc.gov/flu/spread/index.html
Q108,What does the liver do?,straightforward_fact,"The liver helps digest food, rids the body of waste products, and makes clotting factors that keep blood flowing properly, among other tasks.",https://www.mayoclinic.org/diseases-conditions/liver-problems/symptoms-causes/syc-20374502
Q109,"Which vitamin does the body store in the largest amounts, and where?",straightforward_fact,"Vitamin A - most of the body's vitamin A is stored in the liver, in the form of retinyl esters.",https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/
Q110,What causes type 1 diabetes?,straightforward_fact,Type 1 diabetes is thought to be caused by an autoimmune reaction in which the body mistakenly attacks and destroys its own insulin-producing cells.,https://www.cdc.gov/diabetes/about/about-type-1-diabetes.html
Q111,What is a stroke?,straightforward_fact,"A stroke occurs when blood flow to the brain is blocked, or when there is sudden bleeding in the brain.",https://www.nhlbi.nih.gov/health/stroke
Q112,What causes strep throat?,straightforward_fact,Strep throat is caused by group A Streptococcus bacteria.,https://www.cdc.gov/group-a-strep/about/strep-throat.html
Q113,How do doctors diagnose strep throat?,straightforward_fact,"With a rapid strep test (a throat swab tested on the spot), often followed by a throat culture if confirmation is needed.",https://www.cdc.gov/group-a-strep/testing/index.html
Q114,What do the kidneys do?,straightforward_fact,The kidneys remove wastes and extra fluid from the body.,https://www.niddk.nih.gov/health-information/kidney-disease/kidneys-how-they-work
Q115,What is atherosclerosis?,straightforward_fact,A common disease that develops when sticky plaque builds up in the arteries.,https://www.nhlbi.nih.gov/health/atherosclerosis
Q116,What causes seasonal allergies (hay fever)?,straightforward_fact,"The immune system mistakenly identifies a harmless airborne substance, like pollen, as harmful and reacts to it.",https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039
Q117,What causes iron-deficiency anemia?,straightforward_fact,It happens when the body doesn't get enough iron or loses too much iron.,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/symptoms-causes/syc-20355034
Q118,How should you treat a minor burn at home?,straightforward_fact,"Run cool, not cold, water over the burned area for about 10 minutes, remove rings or tight items before swelling starts, cover loosely with a clean bandage, and take an over-the-counter pain reliever if needed.",https://www.mayoclinic.org/first-aid/first-aid-burns/basics/art-20056649
Q119,What are the classic symptoms of a heart attack?,straightforward_fact,"Chest discomfort (pressure, squeezing, fullness, or pain lasting more than a few minutes or that goes away and comes back), along with possible pain in the jaw, neck, back, arms or shoulders, shortness of breath, and feeling weak, light-headed, or faint.",https://www.cdc.gov/heart-disease/about/heart-attack.html
Q120,What virus most commonly causes the common cold?,straightforward_fact,Rhinoviruses are the most frequent cause of colds in the United States.,https://www.cdc.gov/common-cold/about/index.html
